timestamp,feature_0,state,is_anomaly,sensor
2025-04-07 00:00:00,20.0,off,False,temperatureSensor1
2025-04-07 00:01:00,20.0,off,False,temperatureSensor1
2025-04-07 00:02:00,20.0,off,False,temperatureSensor1
2025-04-07 00:03:00,20.0,off,False,temperatureSensor1
2025-04-07 00:04:00,20.0,off,False,temperatureSensor1
2025-04-07 00:05:00,20.0,off,False,temperatureSensor1
2025-04-07 00:06:00,20.0,off,False,temperatureSensor1
2025-04-07 00:07:00,20.0,off,False,temperatureSensor1
2025-04-07 00:08:00,20.0,off,False,temperatureSensor1
2025-04-07 00:09:00,20.0,off,False,temperatureSensor1
2025-04-07 00:10:00,20.0,off,False,temperatureSensor1
2025-04-07 00:11:00,20.0,off,False,temperatureSensor1
2025-04-07 00:12:00,20.0,off,False,temperatureSensor1
2025-04-07 00:13:00,20.0,off,False,temperatureSensor1
2025-04-07 00:14:00,20.0,off,False,temperatureSensor1
2025-04-07 00:15:00,20.0,off,False,temperatureSensor1
2025-04-07 00:16:00,20.0,off,False,temperatureSensor1
2025-04-07 00:17:00,20.0,off,False,temperatureSensor1
2025-04-07 00:18:00,20.0,off,False,temperatureSensor1
2025-04-07 00:19:00,20.0,off,False,temperatureSensor1
2025-04-07 00:20:00,20.0,off,False,temperatureSensor1
2025-04-07 00:21:00,20.0,off,False,temperatureSensor1
2025-04-07 00:22:00,20.0,off,False,temperatureSensor1
2025-04-07 00:23:00,20.0,off,False,temperatureSensor1
2025-04-07 00:24:00,20.0,off,False,temperatureSensor1
2025-04-07 00:25:00,20.0,off,False,temperatureSensor1
2025-04-07 00:26:00,20.0,off,False,temperatureSensor1
2025-04-07 00:27:00,20.0,off,False,temperatureSensor1
2025-04-07 00:28:00,20.0,off,False,temperatureSensor1
2025-04-07 00:29:00,20.0,off,False,temperatureSensor1
2025-04-07 00:30:00,20.0,off,False,temperatureSensor1
2025-04-07 00:31:00,20.0,off,False,temperatureSensor1
2025-04-07 00:32:00,20.0,off,False,temperatureSensor1
2025-04-07 00:33:00,20.0,off,False,temperatureSensor1
2025-04-07 00:34:00,20.0,off,False,temperatureSensor1
2025-04-07 00:35:00,20.0,off,False,temperatureSensor1
2025-04-07 00:36:00,20.0,off,False,temperatureSensor1
2025-04-07 00:37:00,20.0,off,False,temperatureSensor1
2025-04-07 00:38:00,20.0,off,False,temperatureSensor1
2025-04-07 00:39:00,20.0,off,False,temperatureSensor1
2025-04-07 00:40:00,20.0,off,False,temperatureSensor1
2025-04-07 00:41:00,20.0,off,False,temperatureSensor1
2025-04-07 00:42:00,20.0,off,False,temperatureSensor1
2025-04-07 00:43:00,20.0,off,False,temperatureSensor1
2025-04-07 00:44:00,20.0,off,False,temperatureSensor1
2025-04-07 00:45:00,20.0,off,False,temperatureSensor1
2025-04-07 00:46:00,20.0,off,False,temperatureSensor1
2025-04-07 00:47:00,20.0,off,False,temperatureSensor1
2025-04-07 00:48:00,20.0,off,False,temperatureSensor1
2025-04-07 00:49:00,20.0,off,False,temperatureSensor1
2025-04-07 00:50:00,20.0,off,False,temperatureSensor1
2025-04-07 00:51:00,20.0,off,False,temperatureSensor1
2025-04-07 00:52:00,20.0,off,False,temperatureSensor1
2025-04-07 00:53:00,20.0,off,False,temperatureSensor1
2025-04-07 00:54:00,20.0,off,False,temperatureSensor1
2025-04-07 00:55:00,20.0,off,False,temperatureSensor1
2025-04-07 00:56:00,20.0,off,False,temperatureSensor1
2025-04-07 00:57:00,20.0,off,False,temperatureSensor1
2025-04-07 00:58:00,20.0,off,False,temperatureSensor1
2025-04-07 00:59:00,20.0,off,False,temperatureSensor1
2025-04-07 01:00:00,20.0,off,False,temperatureSensor1
2025-04-07 01:01:00,20.0,off,False,temperatureSensor1
2025-04-07 01:02:00,20.0,off,False,temperatureSensor1
2025-04-07 01:03:00,20.0,off,False,temperatureSensor1
2025-04-07 01:04:00,20.0,off,False,temperatureSensor1
2025-04-07 01:05:00,20.0,off,False,temperatureSensor1
2025-04-07 01:06:00,20.0,off,False,temperatureSensor1
2025-04-07 01:07:00,20.0,off,False,temperatureSensor1
2025-04-07 01:08:00,20.0,off,False,temperatureSensor1
2025-04-07 01:09:00,20.0,off,False,temperatureSensor1
2025-04-07 01:10:00,20.0,off,False,temperatureSensor1
2025-04-07 01:11:00,20.0,off,False,temperatureSensor1
2025-04-07 01:12:00,20.0,off,False,temperatureSensor1
2025-04-07 01:13:00,20.0,off,False,temperatureSensor1
2025-04-07 01:14:00,20.0,off,False,temperatureSensor1
2025-04-07 01:15:00,20.0,off,False,temperatureSensor1
2025-04-07 01:16:00,20.0,off,False,temperatureSensor1
2025-04-07 01:17:00,20.0,off,False,temperatureSensor1
2025-04-07 01:18:00,20.0,off,False,temperatureSensor1
2025-04-07 01:19:00,20.0,off,False,temperatureSensor1
2025-04-07 01:20:00,20.0,off,False,temperatureSensor1
2025-04-07 01:21:00,20.0,off,False,temperatureSensor1
2025-04-07 01:22:00,20.0,off,False,temperatureSensor1
2025-04-07 01:23:00,20.0,off,False,temperatureSensor1
2025-04-07 01:24:00,20.0,off,False,temperatureSensor1
2025-04-07 01:25:00,20.0,off,False,temperatureSensor1
2025-04-07 01:26:00,20.0,off,False,temperatureSensor1
2025-04-07 01:27:00,20.0,off,False,temperatureSensor1
2025-04-07 01:28:00,20.0,off,False,temperatureSensor1
2025-04-07 01:29:00,20.0,off,False,temperatureSensor1
2025-04-07 01:30:00,20.0,idle,False,temperatureSensor1
2025-04-07 01:31:00,20.0,idle,False,temperatureSensor1
2025-04-07 01:32:00,20.0,idle,False,temperatureSensor1
2025-04-07 01:33:00,20.0,idle,False,temperatureSensor1
2025-04-07 01:34:00,20.0,idle,False,temperatureSensor1
2025-04-07 01:35:00,20.0,idle,False,temperatureSensor1
2025-04-07 01:36:00,20.0,idle,False,temperatureSensor1
